topic_key,name,svg_path,image_path,lottie_path,narration,explanation,fact,game_type,is_free,display_order
bread,"{""en"": ""Bread"", ""gu"": ""બ્રેડ"", ""hi"": ""ब्रेड""}",,/assets/images/food_drink/bread.png,,"{""en"": ""This is Bread. Bread is soft and delicious to eat for breakfast."", ""gu"": ""આ બ્રેડ છે. બ્રેડ નરમ અને સવારના નાસ્તામાં ખાવા માટે સ્વાદિષ્ટ હોય છે."", ""hi"": ""यह ब्रेड है। ब्रेड नरम और सुबह के नाश्ते में खाने के लिए स्वादिष्ट होती है।""}","{""en"": ""Bread is made from flour and baked in an oven. We can use it to make toast or sandwiches."", ""gu"": ""બ્રેડ લોટમાંથી બનાવવામાં આવે છે અને ઓવનમાં બેક કરવામાં આવે છે. આપણે તેનો ઉપયોગ ટોસ્ટ કે સેન્ડવીચ બનાવવા માટે કરી શકીએ છીએ."", ""hi"": ""ब्रेड आटे से बनाई जाती है और ओवन में सेकी जाती है। हम इसका उपयोग टोस्ट या सैंडविच बनाने के लिए कर सकते हैं।""}","{""en"": ""Did you know? The oldest piece of bread ever found was over 14,000 years old!"", ""gu"": ""શું તમે જાણો છો? અત્યાર સુધી મળેલા બ્રેડનો સૌથી જૂનો ટુકડો ૧૪,૦૦૦ વર્ષથી વધુ જૂનો હતો!"", ""hi"": ""क्या आप जानते हैं? अब तक मिला ब्रेड का सबसे पुराना टुकड़ा 14,000 साल से भी अधिक पुराना था!""}",matching,true,1
cereal,"{""en"": ""Cereal"", ""gu"": ""અનાજ"", ""hi"": ""अनाज (सैरिल)""}",,/assets/images/food_drink/cereal.png,,"{""en"": ""This is Cereal. Cereal is a crunchy breakfast food that we eat with milk."", ""gu"": ""આ અનાજ છે. અનાજ એ કકડો સવારનો નાસ્તો છે જે આપણે દૂધ સાથે ખાઈએ છીએ."", ""hi"": ""यह अनाज है। अनाज एक कुरकुरा नाश्ता है जिसे हम दूध के साथ खाते हैं।""}","{""en"": ""Cereal is made from grains like corn, wheat, or oats. It gives us lots of energy to play and learn."", ""gu"": ""અનાજ મકાઈ, ઘઉં અથવા ઓટ્સ જેવા અનાજમાંથી બનાવવામાં આવે છે. તે આપણને રમવા અને શીખવા માટે પુષ્કળ ઊર્જા આપે છે."", ""hi"": ""अनाज मक्का, गेहूं या जई जैसे अनाजों से बनाया जाता है। यह हमें खेलने और सीखने के लिए बहुत ऊर्जा देता है।""}","{""en"": ""Did you know? The first breakfast cereal was created by a doctor over 160 years ago!"", ""gu"": ""શું તમે જાણો છો? પ્રથમ સવારનો નાસ્તો (અનાજ) એક ડોક્ટર દ્વારા ૧૬૦ વર્ષ પહેલાં બનાવવામાં આવ્યો હતો!"", ""hi"": ""क्या आप जानते हैं? पहला सुबह का अनाज एक डॉक्टर द्वारा 160 साल से भी पहले बनाया गया था!""}",matching,true,2
cheese,"{""en"": ""Cheese"", ""gu"": ""ચીઝ"", ""hi"": ""पनीर (चीज़)""}",,/assets/images/food_drink/cheese.png,,"{""en"": ""This is Cheese. Cheese is a delicious food made from milk."", ""gu"": ""આ ચીઝ છે. ચીઝ દૂધમાંથી બનેલો એક સ્વાદિષ્ટ ખોરાક છે."", ""hi"": ""यह पनीर है। पनीर दूध से बना एक स्वादिष्ट भोजन है।""}","{""en"": ""Cheese comes in many shapes and colors, like yellow and white. We put cheese on pizza, sandwiches, and burgers."", ""gu"": ""ચીઝ પીળા અને સફેદ જેવા ઘણા આકારો અને રંગોમાં આવે છે. આપણે પિઝા, સેન્ડવીચ અને બર્ગરમાં ચીઝ ઉમેરીએ છીએ."", ""hi"": ""पनीर कई आकारों और रंगों में आता है, जैसे पीला और सफेद। हम पिज्जा, सैंडविच और बर्गर में पनीर डालते हैं।""}","{""en"": ""Did you know? There are over 1,000 different types of cheese in the world!"", ""gu"": ""શું તમે જાણો છો? દુનિયામાં ૧,૦૦૦ થી વધુ વિવિધ પ્રકારના ચીઝ ઉપલબ્ધ છે!"", ""hi"": ""क्या आप जानते हैं? दुनिया में 1,000 से अधिक विभिन्न प्रकार के पनीर उपलब्ध हैं!""}",matching,true,3
chicken,"{""en"": ""Chicken"", ""gu"": ""ચિકન"", ""hi"": ""चिकन""}",,/assets/images/food_drink/chicken.png,,"{""en"": ""This is Chicken. Chicken is a popular food that is rich in protein."", ""gu"": ""આ ચિકન છે. ચિકન એ પ્રોટીનથી ભરપૂર એક લોકપ્રિય ખોરાક છે."", ""hi"": ""यह चिकन है। चिकन प्रोटीन से भरपूर एक लोकप्रिय भोजन है।""}","{""en"": ""Chicken can be grilled, roasted, or cooked in soups. It helps our muscles grow strong."", ""gu"": ""ચિકનને ગ્રીલ કરી શકાય છે, શેકી શકાય છે અથવા સૂપમાં રાંધી શકાય છે. તે આપણા સ્નાયુઓને મજબૂત બનાવવામાં મદદ કરે છે."", ""hi"": ""चिकन को ग्रिल किया जा सकता है, भुना जा सकता है या सूप में पकाया जा सकता है। यह हमारी मांसपेशियों को मजबूत बनाने में मदद करता है।""}","{""en"": ""Did you know? Chickens are the most common birds on Earth!"", ""gu"": ""શું તમે જાણો છો? પૃથ્વી પર ચિકન (મરઘા) એ સૌથી સામાન્ય પક્ષીઓ છે!"", ""hi"": ""क्या आप जानते हैं? पृथ्वी पर मुर्गियां सबसे आम पक्षी हैं!""}",matching,true,4
chocolate,"{""en"": ""Chocolate"", ""gu"": ""ચોકલેટ"", ""hi"": ""चॉकलेट""}",,/assets/images/food_drink/chocolate.png,,"{""en"": ""This is Chocolate. Chocolate is a sweet and yummy treat that melts in your mouth."", ""gu"": ""આ ચોકલેટ છે. ચોકલેટ એ મોંમાં ઓગળી જાય તેવી મીઠી અને સ્વાદિષ્ટ વાનગી છે."", ""hi"": ""यह चॉकलेट है। चॉकलेट मुंह में घुल जाने वाली एक मीठी और स्वादिष्ट चीज़ है।""}","{""en"": ""Chocolate is made from cacao beans that grow on trees. It can be dark, milk, or white chocolate."", ""gu"": ""ચોકલેટ વૃક્ષો પર ઉગતા કોકો બીન્સમાંથી બનાવવામાં આવે છે. તે ડાર્ક, મિલ્ક અથવા વ્હાઇટ ચોકલેટ હોઈ શકે છે."", ""hi"": ""चॉकलेट पेड़ों पर उगने वाले कोको बीन्स से बनाई जाती है। यह डार्क, मिल्क या व्हाइट चॉकलेट हो सकती है।""}","{""en"": ""Did you know? Chocolate was once used as money by ancient peoples!"", ""gu"": ""શું તમે જાણો છો? પ્રાચીન લોકો દ્વારા એક સમયે ચોકલેટનો ઉપયોગ સિક્કા કે પૈસા તરીકે થતો હતો!"", ""hi"": ""क्या आप जानते हैं? प्राचीन लोगों द्वारा एक समय में चॉकलेट का उपयोग मुद्रा (पैसे) के रूप में किया जाता था!""}",matching,true,5
donut,"{""en"": ""Donut"", ""gu"": ""ડોનટ"", ""hi"": ""डोनट""}",,/assets/images/food_drink/donut.png,,"{""en"": ""This is a Donut. Donuts are round, sweet treats with a hole in the middle."", ""gu"": ""આ ડોનટ છે. ડોનટ એ વચ્ચે છિદ્ર ધરાવતી ગોળ અને મીઠી વાનગી છે."", ""hi"": ""यह डोनट है। डोनट बीच में छेद वाली एक गोल और मीठी चीज़ है।""}","{""en"": ""Donuts are baked or fried and often topped with colorful sprinkles, chocolate, or icing. They are fun to eat."", ""gu"": ""ડોનટ્સને બેક અથવા ફ્રાય કરવામાં આવે છે અને ઘણીવાર તેના પર રંગબેરંગી સ્પ્રિંકલ્સ, ચોકલેટ અથવા આઈસિંગ કરવામાં આવે છે. તે ખાવામાં મજા આવે છે."", ""hi"": ""डोनट्स को बेक या फ्राई किया जाता है और अक्सर रंग-बिरंगे स्प्रिंकल्स, चॉकलेट या आइसिंग से सजाया जाता है। इन्हें खाने में मज़ा आता है।""}","{""en"": ""Did you know? Over 10 billion donuts are made in the United States every single year!"", ""gu"": ""શું તમે જાણો છો? યુનાઇટેડ સ્ટેટ્સમાં દર વર્ષે ૧૦ અબજથી વધુ ડોનટ્સ બનાવવામાં આવે છે!"", ""hi"": ""क्या आप जानते हैं? संयुक्त राज्य अमेरिका में हर साल 10 अरब से अधिक डोनट्स बनाए जाते हैं!""}",matching,true,6
eggs,"{""en"": ""Eggs"", ""gu"": ""ઇંડા"", ""hi"": ""अंडे""}",,/assets/images/food_drink/eggs.png,,"{""en"": ""This is an Egg. Eggs are very healthy and come from chickens."", ""gu"": ""આ ઇંડું છે. ઇંડા ખૂબ જ આરોગ્યપ્રદ છે અને તે મરઘીઓ દ્વારા મળે છે."", ""hi"": ""यह अंडा है। अंडे बहुत स्वास्थ्यवर्धक होते हैं और मुर्गियों से मिलते हैं।""}","{""en"": ""Eggs have a hard shell on the outside and a yellow yolk inside. We can boil, scramble, or fry them."", ""gu"": ""ઇંડાની બહાર કઠણ કવચ અને અંદર પીળો ભાગ (યોલ્ક) હોય છે. આપણે તેને ઉકાળી શકીએ છીએ કે તળી શકીએ છીએ."", ""hi"": ""अंडे के बाहर एक कठोर आवरण और अंदर एक पीला भाग होता है। हम उन्हें उबाल सकते हैं या तल सकते हैं।""}","{""en"": ""Did you know? An egg shell can have up to 17,000 tiny holes on its surface!"", ""gu"": ""શું તમે જાણો છો? ઇંડાના કવચ પર ૧૭,૦૦૦ જેટલા નાના છિદ્રો હોઈ શકે છે!"", ""hi"": ""क्या आप जानते हैं? अंडे के छिलके पर 17,000 जितने छोटे छिद्र हो सकते हैं!""}",matching,true,7
hamburger,"{""en"": ""Hamburger"", ""gu"": ""હેમબર્ગર"", ""hi"": ""हैमबर्गर""}",,/assets/images/food_drink/hamburger.png,,"{""en"": ""This is a Hamburger. Hamburgers are tasty round sandwiches."", ""gu"": ""આ હેમબર્ગર છે. હેમબર્ગર એ એક સ્વાદિષ્ટ ગોળ સેન્ડવીચ છે."", ""hi"": ""यह हैमबर्गर है। हैमबर्गर एक स्वादिष्ट गोल सैंडविच है।""}","{""en"": ""A hamburger has a patty, lettuce, tomato, and cheese inside a soft round bun. It is great for picnics."", ""gu"": ""હેમબર્ગરમાં નરમ ગોળ બન વચ્ચે કબાબ (પેટ્ટી), કોબીજ, ટામેટા અને ચીઝ હોય છે. પિકનિક માટે તે ઉત્તમ છે."", ""hi"": ""हैमबर्गर में नरम गोल बन के बीच एक टिक्की, सलाद पत्ता, टमाटर और पनीर होता है। पिकनिक के लिए यह बेहतरीन है।""}","{""en"": ""Did you know? The largest hamburger ever made weighed more than a car!"", ""gu"": ""શું તમે જાણો છો? અત્યાર સુધી બનેલું સૌથી મોટું હેમબર્ગર કાર કરતાં પણ વધુ વજનદાર હતું!"", ""hi"": ""क्या आप जानते हैं? अब तक का सबसे बड़ा हैमबर्गर एक कार से भी अधिक भारी था!""}",matching,true,8
honey,"{""en"": ""Honey"", ""gu"": ""મધ"", ""hi"": ""शहद""}",,/assets/images/food_drink/honey.png,,"{""en"": ""This is Honey. Honey is a sweet, golden liquid made by busy honeybees."", ""gu"": ""આ મધ છે. મધ એ મધમાખીઓ દ્વારા બનાવવામાં આવતું એક મીઠું, સોનેરી પ્રવાહી છે."", ""hi"": ""यह शहद है। शहद मधुमक्खियों द्वारा बनाया जाने वाला एक मीठा, सुनहरा तरल है।""}","{""en"": ""Honey is very sweet and healthy. Bees collect nectar from flowers to make honey in their hives."", ""gu"": ""મધ ખૂબ જ મીઠું અને પૌષ્ટિક છે. મધમાખીઓ તેમના મધપૂડામાં મધ બનાવવા માટે ફૂલોમાંથી રસ એકત્રિત કરે છે."", ""hi"": ""शहद बहुत मीठा और स्वास्थ्यवर्धक होता है। मधुमक्खियां अपने छत्ते में शहद बनाने के लिए फूलों से रस इकट्ठा करती हैं।""}","{""en"": ""Did you know? Honey never spoils! You could eat honey that is 3,000 years old and it would still taste good!"", ""gu"": ""શું તમે જાણો છો? મધ ક્યારેય બગડતું નથી! તમે ૩,૦૦૦ વર્ષ જૂનું મધ પણ ખાઈ શકો છો અને તેનો સ્વાદ સારો જ હશે!"", ""hi"": ""क्या आप जानते हैं? शहद कभी खराब नहीं होता! आप 3,000 साल पुराना शहद भी खा सकते हैं और उसका स्वाद अभी भी अच्छा होगा!""}",matching,true,9
ice_cream,"{""en"": ""Ice Cream"", ""gu"": ""આઇસક્રીમ"", ""hi"": ""आइसक्रीम""}",,/assets/images/food_drink/ice_cream.png,,"{""en"": ""This is Ice Cream. Ice cream is a cold and sweet dessert that we love in summer."", ""gu"": ""આ આઇસક્રીમ છે. આઇસક્રીમ એ એક ઠંડી અને મીઠી વાનગી છે જે આપણને ઉનાળામાં ખૂબ ગમે છે."", ""hi"": ""यह आइसक्रीम है। आइसक्रीम एक ठंडी और मीठी चीज़ है जिसे हम गर्मियों में बहुत पसंद करते हैं।""}","{""en"": ""Ice cream is made from milk, cream, and sugar. It comes in many flavors like vanilla, chocolate, and strawberry."", ""gu"": ""આઇસક્રીમ દૂધ, ક્રીમ અને ખાંડમાંથી બનાવવામાં આવે છે. તે વેનીલા, ચોકલેટ અને સ્ટ્રોબેરી જેવા ઘણા સ્વાદોમાં આવે છે."", ""hi"": ""आसक्रीम दूध, मलाई और चीनी से बनाई जाती है। यह वेनिला, चॉकलेट और स्ट्रॉबेरी जैसे कई स्वादों में आती है।""}","{""en"": ""Did you know? The most popular ice cream flavor in the world is vanilla!"", ""gu"": ""શું તમે જાણો છો? વિશ્વમાં આઇસક્રીમનો સૌથી લોકપ્રિય સ્વાદ વેનીલા છે!"", ""hi"": ""क्या आप जानते हैं? दुनिया में आइसक्रीम का सबसे लोकप्रिय स्वाद वेनिला है!""}",matching,true,10
