topic_key,name,svg_path,image_path,lottie_path,narration,explanation,fact,game_type,is_free,display_order
a,"{""en"": ""A"", ""gu"": ""A"", ""hi"": ""A""}",,/assets/images/alphabet/a.png,,"{""en"": ""A is for Apple! Apples are sweet and crunchy fruits."", ""gu"": ""એ એટલે એપલ! સફરજન મીઠા અને ક્રન્ચી ફળ છે."", ""hi"": ""ए से एप्पल! सेब मीठे और कुरकुरे फल होते हैं।""}","{""en"": ""Apples grow on trees and can be red, green, or yellow! They are very healthy for you."", ""gu"": ""સફરજન ઝાડ પર ઉગે છે અને તે લાલ, લીલા કે પીળા હોઈ શકે છે! તે તમારા સ્વાસ્થ્ય માટે ખૂબ સારા છે."", ""hi"": ""सेब पेड़ों पर उगते हैं और लाल, हरे या पीले हो सकते हैं! वे आपके स्वास्थ्य के लिए बहुत अच्छे हैं।""}","{""en"": ""Did you know? An apple tree can live for more than 100 years!"", ""gu"": ""શું તમે જાણો છો? સફરજનનું ઝાડ ૧૦૦ વર્ષથી વધુ જીવી શકે છે!"", ""hi"": ""क्या आपको पता है? सेब का पेड़ 100 साल से अधिक समय तक जीवित रह सकता है!""}",memory,true,1
b,"{""en"": ""B"", ""gu"": ""B"", ""hi"": ""B""}",,/assets/images/alphabet/b.png,,"{""en"": ""B is for Ball! Balls are round and fun to bounce and play with."", ""gu"": ""બી એટલે બોલ! દડા ગોળ હોય છે અને ઉછળવા અને રમવા માટે મજાના હોય છે."", ""hi"": ""बी से बॉल! गेंदें गोल होती हैं और उछालने और खेलने में मजेदार होती हैं।""}","{""en"": ""We use balls to play games like soccer, basketball, and tennis with our friends!"", ""gu"": ""આપણે મિત્રો સાથે ફૂટબોલ, બાસ્કેટબોલ અને ટેનિસ જેવી રમતો રમવા માટે દડાનો ઉપયોગ કરીએ છીએ!"", ""hi"": ""हम अपने दोस्तों के साथ फुटबॉल, बास्केटबॉल और टेनिस जैसे खेल खेलने के लिए गेंदों का उपयोग करते हैं!""}","{""en"": ""Did you know? The oldest game played with a ball was invented over 3,000 years ago!"", ""gu"": ""શું તમે જાણો છો? દડા સાથે રમાતી સૌથી જૂની રમત ૩,૦૦૦ વર્ષ પહેલાં શોધાઈ હતી!"", ""hi"": ""क्या आपको पता है? गेंद से खेला जाने वाला सबसे पुराना खेल 3,000 साल से भी पहले आविष्कृत हुआ था!""}",memory,true,2
c,"{""en"": ""C"", ""gu"": ""C"", ""hi"": ""C""}",,/assets/images/alphabet/c.png,,"{""en"": ""C is for Cat! Cats are cute pets that love to purr and play."", ""gu"": ""સી એટલે કેટ! બિલાડીઓ સુંદર પાળતુ પ્રાણી છે જેને મ્યાઉં કરવું અને રમવું ગમે છે."", ""hi"": ""सी से कैट! बिल्लियां प्यारे पालतू जानवर हैं जिन्हें म्याऊं करना और खेलना पसंद है।""}","{""en"": ""Cats have soft fur, long whiskers, and are very good at jumping and climbing!"", ""gu"": ""બિલાડીઓને નરમ રૂંવાટી, લાંબી મૂછો હોય છે અને તે કૂદવામાં અને ચઢવામાં ખૂબ જ કુશળ હોય છે!"", ""hi"": ""बिल्लियों के पास मुलायम फर, लंबी मूंछें होती हैं, और वे कूदने और चढ़ने में बहुत अच्छी होती हैं!""}","{""en"": ""Did you know? Cats can make over 100 different sounds, while dogs can only make about 10!"", ""gu"": ""શું તમે જાણો છો? બિલાડીઓ ૧૦૦ થી વધુ વિવિધ અવાજો કરી શકે છે, જ્યારે કૂતરા ફક્ત ૧૦ કરી શકે છે!"", ""hi"": ""क्या आपको पता है? बिल्लियां 100 से अधिक विभिन्न आवाजें निकाल सकती हैं, जबकि कुत्ते केवल 10 के करीब!""}",memory,true,3
d,"{""en"": ""D"", ""gu"": ""D"", ""hi"": ""D""}",,/assets/images/alphabet/d.png,,"{""en"": ""D is for Dog! Dogs are loyal pets that love to wag their tails."", ""gu"": ""ડી એટલે ડોગ! કૂતરા વફાદાર પાળતુ પ્રાણી છે જેમને પૂંછડી પટપટાવવી ગમે છે."", ""hi"": ""डी से डॉग! कुत्ते वफादार पालतू जानवर हैं जिन्हें अपनी पूंछ हिलाना पसंद है।""}","{""en"": ""Dogs have a great sense of smell and love to play fetch and go for walks!"", ""gu"": ""કૂતરાઓની સૂંઘવાની શક્તિ અદ્ભુત હોય છે અને તેમને વસ્તુઓ પકડવી અને ફરવા જવું ગમે છે!"", ""hi"": ""कुत्तों के पास सूंघने की बेहतरीन शक्ति होती है और उन्हें चीजें पकड़ना और टहलना बहुत पसंद होता है!""}","{""en"": ""Did you know? Dogs can understand up to 250 words and gestures, making them very smart!"", ""gu"": ""શું તમે જાણો છો? કૂતરા ૨૫૦ જેટલા શબ્દો અને ઈશારા સમજી શકે છે, જે તેમને ખૂબ સ્માર્ટ બનાવે છે!"", ""hi"": ""क्या आपको पता है? कुत्ते 250 शब्दों और इशारों को समझ सकते हैं, जिससे वे बहुत समझदार होते हैं!""}",memory,true,4
e,"{""en"": ""E"", ""gu"": ""E"", ""hi"": ""E""}",,/assets/images/alphabet/e.png,,"{""en"": ""E is for Elephant! Elephants are the largest land animals."", ""gu"": ""ઇ એટલે એલિફન્ટ! હાથી જમીન પરના સૌથી મોટા પ્રાણીઓ છે."", ""hi"": ""ई से एलीफेंट! हाथी जमीन पर रहने वाले सबसे बड़े जानवर हैं।""}","{""en"": ""They have long trunks for breathing and spraying water, and very big ears!"", ""gu"": ""તેમની પાસે શ્વાસ લેવા અને પાણી છાંટવા માટે લાંબી સૂંઢ અને ખૂબ મોટા કાન હોય છે!"", ""hi"": ""उनके पास सांस लेने और पानी छिड़कने के लिए लंबी सूंड होती है, और बहुत बड़े कान होते हैं!""}","{""en"": ""Did you know? Elephants can swim! They use their trunks like snorkels in deep water."", ""gu"": ""શું તમે જાણો છો? હાથીઓ તરી શકે છે! તેઓ ઊંડા પાણીમાં તેમની સૂંઢનો ઉપયોગ શ્વાસ લેવા માટે કરે છે."", ""hi"": ""क्या आपको पता है? हाथी तैर सकते हैं! वे गहरे पानी में सांस लेने के लिए अपनी सूंड का इस्तेमाल करते हैं।""}",memory,true,5
f,"{""en"": ""F"", ""gu"": ""F"", ""hi"": ""F""}",,/assets/images/alphabet/f.png,,"{""en"": ""F is for Fish! Fish live underwater and swim with their fins."", ""gu"": ""એફ એટલે ફિશ! માછલીઓ પાણીની નીચે રહે છે અને તેમના મીનપક્ષોથી તરે છે."", ""hi"": ""एफ से फिश! मछलियां पानी के नीचे रहती हैं और अपने पंखों से तैरती हैं।""}","{""en"": ""Fish breathe underwater using gills and come in many bright, beautiful colors!"", ""gu"": ""માછલીઓ ઝાલરની મદદથી પાણીની અંદર શ્વાસ લે છે અને તે ઘણા તેજસ્વી, સુંદર રંગોમાં આવે છે!"", ""hi"": ""मछलियां गलफड़ों का उपयोग करके पानी के भीतर सांस लेती हैं और कई चमकीले, सुंदर रंगों में आती हैं!""}","{""en"": ""Did you know? Some fish, like goldfish, can remember things for up to five months!"", ""gu"": ""શું તમે જાણો છો? ગોલ્ડફિશ જેવી કેટલીક માછલીઓ પાંચ મહિના સુધી વસ્તુઓ યાદ રાખી શકે છે!"", ""hi"": ""क्या आपको पता है? कुछ मछलियां, जैसे गोल्डफिश, पांच महीने तक चीजें याद रख सकती हैं!""}",memory,true,6
g,"{""en"": ""G"", ""gu"": ""G"", ""hi"": ""G""}",,/assets/images/alphabet/g.png,,"{""en"": ""G is for Giraffe! Giraffes are the tallest animals in the world."", ""gu"": ""જી એટલે જીરાફ! જીરાફ એ દુનિયાના સૌથી ઊંચા પ્રાણીઓ છે."", ""hi"": ""जी से जिराफ़! जिराफ़ दुनिया के सबसे ऊंचे जानवर होते हैं।""}","{""en"": ""They have very long necks to reach green leaves at the tops of tall trees, and long legs to run fast!"", ""gu"": ""ઊંચા ઝાડની ટોચ પરના લીલા પાંદડા સુધી પહોંચવા માટે તેમની પાસે ખૂબ જ લાંબી ગરદન અને ઝડપથી દોડવા માટે લાંબા પગ હોય છે!"", ""hi"": ""ऊंचे पेड़ों की चोटी पर हरी पत्तियों तक पहुँचने के लिए उनके पास बहुत लंबी गर्दन और तेज़ दौड़ने के लिए लंबे पैर होते हैं!""}","{""en"": ""Did you know? A giraffe's neck has only seven bones, which is the exact same number as a human neck!"", ""gu"": ""શું તમે જાણો છો? જીરાફની ગરદનમાં માત્ર સાત જ હાડકાં હોય છે, જે મનુષ્યની ગરદનના હાડકાંની બરાબર જ સંખ્યા છે!"", ""hi"": ""क्या आपको पता है? जिराफ़ की गर्दन में केवल सात हड्डियाँ होती हैं, जो कि इंसान की गर्दन की हड्डियों की संख्या के बिल्कुल बराबर है!""}",memory,true,7
h,"{""en"": ""H"", ""gu"": ""H"", ""hi"": ""H""}",,/assets/images/alphabet/h.png,,"{""en"": ""H is for Horse! Horses are strong animals that we can ride."", ""gu"": ""એચ એટલે ઘોડો! ઘોડા મજબૂત પ્રાણીઓ છે જેના પર આપણે સવારી કરી શકીએ છીએ."", ""hi"": ""एच से घोड़ा! घोड़े मजबूत जानवर होते हैं जिन पर हम सवारी कर सकते हैं।""}","{""en"": ""Horses live in stables, eat hay and grass, and can run very fast on their hooves."", ""gu"": ""ઘોડા તબેલામાં રહે છે, ઘાસ અને સૂકું ઘાસ ખાય છે, અને તેમની ખરીઓ (નખ) પર ખૂબ જ ઝડપથી દોડી શકે છે."", ""hi"": ""घोड़े अस्तबल में रहते हैं, घास और भूसा खाते हैं, और अपने खुरों पर बहुत तेज़ दौड़ सकते हैं।""}","{""en"": ""Did you know? Horses can sleep both lying down and standing up!"", ""gu"": ""શું તમે જાણો છો? ઘોડા સૂતા અને ઊભા રહીને બંને રીતે સૂઈ શકે છે!"", ""hi"": ""क्या आपको पता है? घोड़े लेटकर और खड़े होकर दोनों तरह से सो सकते हैं!""}",memory,true,8
i,"{""en"": ""I"", ""gu"": ""I"", ""hi"": ""I""}",,/assets/images/alphabet/i.png,,"{""en"": ""I is for Igloo! An igloo is a round house built from blocks of snow."", ""gu"": ""આઈ એટલે ઇગ્લૂ! ઇગ્લૂ એ બરફના ચોસલામાંથી બનેલું ગોળાકાર ઘર છે."", ""hi"": ""आई से इग्लू! इग्लू बर्फ के टुकड़ों से बना एक गोल घर होता है।""}","{""en"": ""It is built in cold, snowy places. The snow blocks trap warm air inside to keep people warm!"", ""gu"": ""તે ઠંડા, બરફીલા સ્થળોએ બનાવવામાં આવે છે. બરફના ચોસલા અંદરની ગરમ હવાને પકડી રાખે છે જેથી લોકોને ગરમી મળે!"", ""hi"": ""यह ठंडी, बर्फीली जगहों पर बनाया जाता है। बर्फ के टुकड़े अंदर की गर्म हवा को रोकते हैं जिससे लोग गर्म रहें!""}","{""en"": ""Did you know? The temperature inside an igloo can be up to 40 degrees warmer than the freezing air outside!"", ""gu"": ""શું તમે જાણો છો? ઇગ્લૂની અંદરનું તાપમાન બહારની થીજી જતી હવા કરતાં ૪૦ ડિગ્રી જેટલું ગરમ હોઈ શકે છે!"", ""hi"": ""क्या आपको पता है? इग्लू के अंदर का तापमान बाहर की ठंडी हवा की तुलना में 40 डिग्री तक अधिक गर्म हो सकता है!""}",memory,true,9
j,"{""en"": ""J"", ""gu"": ""J"", ""hi"": ""J""}",,/assets/images/alphabet/j.png,,"{""en"": ""J is for Jug! A jug is a container used for holding and pouring liquids."", ""gu"": ""જે એટલે જગ! જગ એ પ્રવાહી ભરવા અને રેડવા માટે વપરાતું એક વાસણ છે."", ""hi"": ""जे से जग! जग तरल पदार्थ रखने और डालने के लिए इस्तेमाल किया जाने वाला एक बर्तन है।""}","{""en"": ""A jug has a handle and a spout to pour water, milk, or juice into cups easily."", ""gu"": ""જગમાં હેન્ડલ અને નળી હોય છે જેથી પાણી, દૂધ કે જ્યુસને કપમાં સરળતાથી રેડી શકાય."", ""hi"": ""जग में एक हैंडल और एक पाइप होता है जिससे पानी, दूध या रस को कप में आसानी से डाला जा सके।""}","{""en"": ""Did you know? In ancient times, jugs were made of clay and decorated with beautiful patterns!"", ""gu"": ""શું તમે જાણો છો? પ્રાચીન સમયમાં, જગ માટીના બનેલા હતા અને સુંદર ભાતથી શણગારવામાં આવતા હતા!"", ""hi"": ""क्या आपको पता है? प्राचीन काल में, जग मिट्टी के बने होते थे और सुंदर डिजाइनों से सजाए जाते थे!""}",memory,true,10
