topic_key,name,svg_path,image_path,lottie_path,narration,explanation,fact,game_type,is_free,display_order
bed,"{""en"": ""Bed"", ""gu"": ""પલંગ"", ""hi"": ""बिस्तर""}",,/assets/images/household_items/bed.png,,"{""en"": ""This is a Bed. We sleep on a soft bed to rest at night."", ""gu"": ""આ પલંગ છે. રાત્રે આરામ કરવા માટે આપણે નરમ પલંગ પર સૂઈએ છીએ."", ""hi"": ""यह बिस्तर है। हम रात में आराम करने के लिए मुलायम बिस्तर पर सोते हैं।""}","{""en"": ""A bed has a soft mattress, pillows, and a blanket. Sleeping on a bed helps us stay healthy and energetic."", ""gu"": ""પલંગમાં એક નરમ ગાદલું, ઓશીકું અને ધાબળો હોય છે. પલંગ પર સૂવાથી આપણે સ્વસ્થ અને સ્ફૂર્તિલા રહીએ છીએ."", ""hi"": ""बिस्तर में एक गद्दे, तकिए और एक कंबल होता है। बिस्तर पर सोने से हम स्वस्थ और ऊर्जावान बने रहते हैं।""}","{""en"": ""Did you know? In ancient Egypt, rich people had beds made of gold and ebony wood!"", ""gu"": ""શું તમે જાણો છો? પ્રાચીન ઇજિપ્તમાં, અમીર લોકો પાસે સોના અને કિંમતી લાકડામાંથી બનેલા પલંગ હતા!"", ""hi"": ""क्या आप जानते हैं? प्राचीन मिस्र में, अमीर लोगों के पास सोने और कीमती लकड़ी के बने बिस्तर होते थे!""}",matching,true,1
blanket,"{""en"": ""Blanket"", ""gu"": ""ધાબળો"", ""hi"": ""कंबल""}",,/assets/images/household_items/blanket.png,,"{""en"": ""This is a Blanket. Blankets keep us warm and cozy when we sleep."", ""gu"": ""આ ધાબળો છે. ધાબળો આપણને ઊંઘતી વખતે ગરમ અને આરામદાયક રાખે છે."", ""hi"": ""यह कंबल है। कंबल सोते समय हमें गर्म और आरामदायक रखते हैं।""}","{""en"": ""Blankets are made of soft wool or cotton. We pull them over our bodies when we feel cold during winter nights."", ""gu"": ""ધાબળા નરમ ઊન અથવા સુતરાઉ કાપડમાંથી બને છે. શિયાળાની રાત્રિઓમાં જ્યારે આપણને ઠંડી લાગે છે ત્યારે આપણે તેને ઓઢીએ છીએ."", ""hi"": ""कंबल मुलायम ऊन या सूती कपड़े के बने होते हैं। सर्दियों की रातों में जब हमें ठंड लगती है तो हम इन्हें ओढ़ते हैं।""}","{""en"": ""Did you know? Space blankets were invented by NASA to keep spacecraft and astronauts warm in space!"", ""gu"": ""શું તમે જાણો છો? અવકાશયાન અને અવકાશયાત્રીઓને ગરમ રાખવા માટે નાસા દ્વારા સ્પેસ બ્લેન્કેટની શોધ કરવામાં આવી હતી!"", ""hi"": ""क्या आप जानते हैं? अंतरिक्ष यान और अंतरिक्ष यात्रियों को गर्म रखने के लिए नासा द्वारा स्पेस कंबल का आविष्कार किया गया था!""}",matching,true,2
bookshelf,"{""en"": ""Bookshelf"", ""gu"": ""ચોપડીઓનું કબાટ"", ""hi"": ""किताबों की अलमारी""}",,/assets/images/household_items/bookshelf.png,,"{""en"": ""This is a Bookshelf. Bookshelves store our favorite books neatly."", ""gu"": ""આ ચોપડીઓનું કબાટ છે. તે આપણી મનપસંદ ચોપડીઓને સુંદર રીતે ગોઠવીને રાખે છે."", ""hi"": ""यह किताबों की अलमारी है। यह हमारी पसंदीदा किताबों को व्यवस्थित ढंग से रखती है।""}","{""en"": ""A bookshelf has many shelves. Keeping books on a bookshelf makes it easy to find them and keeps our room clean."", ""gu"": ""ચોપડીઓના કબાટમાં ઘણા ખાના હોય છે. તેના પર પુસ્તકો રાખવાથી તે સરળતાથી મળી રહે છે અને આપણો રૂમ સાફ રહે છે."", ""hi"": ""किताबों की अलमारी में कई खाने होते हैं। इस पर किताबें रखने से वे आसानी से मिल जाती हैं और हमारा कमरा साफ़ रहता है।""}","{""en"": ""Did you know? The oldest library bookshelves were made of stone and clay tablets in ancient cities!"", ""gu"": ""શું તમે જાણો છો? પ્રાચીન શહેરોમાં સૌથી જૂની પુસ્તકાલયો પથ્થર અને માટીની બનેલી છાજલીઓ ધરાવતી હતી!"", ""hi"": ""क्या आप जानते हैं? प्राचीन शहरों में सबसे पुराना पुस्तकालय पत्थर और मिट्टी की बनी अलमारियों वाला था!""}",matching,true,3
broom,"{""en"": ""Broom"", ""gu"": ""સાવરણી"", ""hi"": ""झाड़ू""}",,/assets/images/household_items/broom.png,,"{""en"": ""This is a Broom. Brooms are used to sweep dust off the floor."", ""gu"": ""આ સાવરણી છે. સાવરણીનો ઉપયોગ ભોંયતળિયેથી કચરો સાફ કરવા માટે થાય છે."", ""hi"": ""यह झाड़ू है। झाड़ू का उपयोग फर्श से धूल और कचरा साफ़ करने के लिए किया जाता है।""}","{""en"": ""A broom has long bristles attached to a handle. Sweeping every day keeps our home clean, tidy, and free of dust."", ""gu"": ""સાવરણીમાં લાંબા રેસાઓ એક હેન્ડલ સાથે જોડાયેલા હોય છે. દરરોજ સાવરણી મારવાથી આપણું ઘર સ્વચ્છ, વ્યવસ્થિત અને ધૂળમુક્ત રહે છે."", ""hi"": ""झाड़ू में लंबे रेशे एक हैंडल से जुड़े होते हैं। रोज़ाना झाड़ू लगाने से हमारा घर साफ़, व्यवस्थित और धूल रहित रहता है।""}","{""en"": ""Did you know? The earliest brooms were just bundles of twigs tied to a thick branch!"", ""gu"": ""શું તમે જાણો છો? સૌથી જૂની સાવરણીઓ માત્ર એક જાડી ડાળી સાથે બાંધેલી નાની લાકડીઓનું બંડલ હતી!"", ""hi"": ""क्या आप जानते हैं? सबसे पुरानी झाड़ू केवल एक मोटी शाखा से बंधी हुई छोटी लकड़ियों का बंडल थी!""}",matching,true,4
chair,"{""en"": ""Chair"", ""gu"": ""ખુરશી"", ""hi"": ""कुर्सी""}",,/assets/images/household_items/chair.png,,"{""en"": ""This is a Chair. We sit on a chair to read, write, or eat."", ""gu"": ""આ ખુરશી છે. આપણે વાંચવા, લખવા કે ખાવા માટે ખુરશી પર બેસીએ છીએ."", ""hi"": ""यह कुर्सी है। हम पढ़ने, लिखने या खाने के लिए कुर्सी पर बैठते हैं।""}","{""en"": ""A chair has a seat, a backrest to lean on, and four legs to stand. It helps us sit comfortably at a desk."", ""gu"": ""ખુરશીમાં બેઠક, ટેકો દેવા માટે બેકરેસ્ટ અને ચાર પાયા હોય છે. તે આપણને ટેબલ પર આરામથી બેસવામાં મદદ કરે છે."", ""hi"": ""कुर्सी में एक सीट, टेक लगाने के लिए बैकरेस्ट और चार पैर होते हैं। यह हमें मेज पर आराम से बैठने में मदद करती है।""}","{""en"": ""Did you know? In ancient times, only kings and queens sat on chairs; everyone else sat on stools or the floor!"", ""gu"": ""શું તમે જાણો છો? પ્રાચીન સમયમાં ફક્ત રાજા અને રાણી જ ખુરશી પર બેસતા હતા; બાકીના બધા લોકો પાટલા કે જમીન પર બેસતા!"", ""hi"": ""क्या आप जानते हैं? प्राचीन काल में केवल राजा और रानी ही कुर्सियों पर बैठते थे; बाकी सभी लोग फर्श या छोटे स्टूल पर बैठते थे!""}",matching,true,5
clock,"{""en"": ""Clock"", ""gu"": ""ઘડિયાળ"", ""hi"": ""घड़ी""}",,/assets/images/household_items/clock.png,,"{""en"": ""This is a Clock. Clocks show us the time of day and night."", ""gu"": ""આ ઘડિયાળ છે. ઘડિયાળ આપણને દિવસ અને રાતનો સમય દર્શાવે છે."", ""hi"": ""यह घड़ी है। घड़ी हमें दिन और रात का समय दिखाती है।""}","{""en"": ""A clock has hands that move to point at numbers. It tells us when to wake up, go to school, and go to bed."", ""gu"": ""ઘડિયાળમાં કાંટા હોય છે જે અંકો તરફ ફરે છે. તે આપણને ક્યારે જાગવું, શાળાએ જવું અને સુવું તે જણાવે છે."", ""hi"": ""घड़ी में सुइयाँ होती हैं जो अंकों की तरफ घूमती हैं। यह हमें बताती है कि कब जागना है, स्कूल जाना है और कब सोना है।""}","{""en"": ""Did you know? The first clocks did not have hands; they used the shadow of the sun to tell time!"", ""gu"": ""શું તમે જાણો છો? પ્રથમ ઘડિયાળોમાં કાંટા નહોતા; તેઓ સમય જાણવા માટે સૂર્યના પડછાયાનો ઉપયોગ કરતા હતા!"", ""hi"": ""क्या आप जानते हैं? पहली घड़ियों में सुइयाँ नहीं होती थीं; वे समय बताने के लिए सूरज की छाया का उपयोग करती थीं!""}",matching,true,6
dustpan,"{""en"": ""Dustpan"", ""gu"": ""કચરો ભરવાનું પાત્ર"", ""hi"": ""सूपड़ी (डस्टपैन)""}",,/assets/images/household_items/dustpan.png,,"{""en"": ""This is a Dustpan. Dustpans collect dirt swept up by the broom."", ""gu"": ""આ કચરો ભરવાનું પાત્ર છે. તે સાવરણીથી વાળેલા કચરાને એકત્રિત કરે છે."", ""hi"": ""यह सूपड़ी है। यह झाड़ू से बुहारे गए कचरे को इकट्ठा करती है।""}","{""en"": ""A dustpan is a flat scoop. We hold it against the floor, sweep the dust into it, and then carry it to the trash bin."", ""gu"": ""કચરો ભરવાનું પાત્ર એક સપાટ પાવડો છે. આપણે તેને જમીન પર રાખી કચરો તેમાં વાળીએ છીએ, અને પછી કચરાપેટીમાં નાખીએ છીએ."", ""hi"": ""सूपड़ी एक चपटा बर्तन होती है। हम इसे फर्श पर रखकर कचरा इसमें बुहारते हैं, और फिर कूड़ेदान में डाल देते हैं।""}","{""en"": ""Did you know? The first dustpan with a long handle was invented to stop people from bending over!"", ""gu"": ""શું તમે જાણો છો? લાંબા હેન્ડલવાળા પ્રથમ કચરો ભરવાના પાત્રની શોધ લોકોને નમવું ન પડે તે માટે કરવામાં આવી હતી!"", ""hi"": ""क्या आप जानते हैं? लंबे हैंडल वाली पहली सूपड़ी का आविष्कार इसलिए किया गया था ताकि लोगों को झुकना न पड़े!""}",matching,true,7
fork,"{""en"": ""Fork"", ""gu"": ""કાંટો"", ""hi"": ""कांटा""}",,/assets/images/household_items/fork.png,,"{""en"": ""This is a Fork. We use a fork to pick up solid food easily."", ""gu"": ""આ કાંટો (ફોર્ક) છે. આપણે નક્કર ખોરાકને સરળતાથી ખાવા માટે કાંટાનો ઉપયોગ કરીએ છીએ."", ""hi"": ""यह कांटा है। हम ठोस भोजन को आसानी से उठाने के लिए कांटे का उपयोग करते हैं।""}","{""en"": ""A fork has long pointed teeth called tines. We use it to eat noodles, vegetables, and pieces of fruit without dirtying our hands."", ""gu"": ""કાંટો લાંબી તીક્ષ્ણ પાંખડીઓ ધરાવે છે. આપણે તેનો ઉપયોગ નૂડલ્સ, શાકભાજી અને ફળોના ટુકડા હાથ બગાડ્યા વિના ખાવા માટે કરીએ છીએ."", ""hi"": ""कांटे में लंबे तीखे दांत होते हैं। हम इसका उपयोग नूडल्स, सब्जियां और फलों के टुकड़े हाथ गंदे किए बिना खाने के लिए करते हैं।""}","{""en"": ""Did you know? In ancient times, forks only had two teeth, but today they usually have four!"", ""gu"": ""શું તમે જાણો છો? પ્રાચીન સમયમાં કાંટાને માત્ર બે પાંખડીઓ જ હતી, પરંતુ આજે સામાન્ય રીતે ચાર હોય છે!"", ""hi"": ""क्या आप जानते हैं? प्राचीन काल में कांटे में केवल दो दांत होते थे, लेकिन आज आमतौर पर चार होते हैं!""}",matching,true,8
iron,"{""en"": ""Iron"", ""gu"": ""ઇસ્ત્રી"", ""hi"": ""इस्तरी (प्रेस)""}",,/assets/images/household_items/iron.png,,"{""en"": ""This is an Iron. An iron uses heat to smooth out wrinkles on clothes."", ""gu"": ""આ ઇસ્ત્રી છે. ઇસ્ત્રી કપડાની કરચલીઓ દૂર કરવા ગરમીનો ઉપયોગ કરે છે."", ""hi"": ""यह इस्तरी है। इस्तरी कपड़ों की सिलवटें दूर करने के लिए गर्मी का उपयोग करती है।""}","{""en"": ""An iron gets very hot. Parents press it over shirts, pants, and dresses to make them look neat, flat, and beautiful."", ""gu"": ""ઇસ્ત્રી ખૂબ જ ગરમ થાય છે. વડીલો તેને શર્ટ, પેન્ટ અને કપડા પર ફેરવીને તેને સુંદર અને કરચલી વગરના બનાવે છે."", ""hi"": ""इस्तरी बहुत गर्म होती है। बड़े इसे शर्ट, पैंट और कपड़ों पर फेरकर उन्हें सुंदर और सिलवट रहित बनाते हैं।""}","{""en"": ""Did you know? The first electric irons were invented in the 1880s, before that people used heavy irons filled with hot coal!"", ""gu"": ""શું તમે જાણો છો? ૧૮૮૦ ના દાયકામાં પ્રથમ ઇલેક્ટ્રિક ઇસ્ત્રીની શોધ થઈ હતી, તે પહેલા લોકો ગરમ કોલસાથી ભરેલી ભારે ઇસ્ત્રી વાપરતા!"", ""hi"": ""क्या आप जानते हैं? 1880 के दशक में पहली इलेक्ट्रिक इस्तरी का आविष्कार हुआ था, उससे पहले लोग गर्म कोयले से भरी भारी इस्तरी का उपयोग करते थे!""}",matching,true,9
kettle,"{""en"": ""Kettle"", ""gu"": ""કીટલી"", ""hi"": ""केतली""}",,/assets/images/household_items/kettle.png,,"{""en"": ""This is a Kettle. Kettles boil water quickly to make warm drinks."", ""gu"": ""આ કીટલી છે. કીટલી ગરમ પીણાં બનાવવા માટે પાણીને ઝડપથી ઉકાળે છે."", ""hi"": ""यह केतली है। केतली गर्म पेय बनाने के लिए पानी को जल्दी से उबालती है।""}","{""en"": ""A kettle has a lid, a handle, and a spout to pour water. When the water inside gets hot, the kettle makes steam and often whistles."", ""gu"": ""કીટલીમાં ઢાંકણ, હેન્ડલ અને પાણી રેડવા માટે એક નળી હોય છે. જ્યારે પાણી ગરમ થાય છે, ત્યારે કીટલી વરાળ ઉત્પન્ન કરે છે અને વ્હીસલ કરે છે."", ""hi"": ""केतली में ढक्कन, हैंडल और पानी डालने के लिए एक पाइप होता है। जब पानी गर्म होता है, तो केतली भाप बनाती है और सीटी बजाती है।""}","{""en"": ""Did you know? Electric kettles are very smart and turn off automatically when the water is boiled!"", ""gu"": ""શું તમે જાણો છો? ઇલેક્ટ્રિક કીટલીઓ ખૂબ જ સ્માર્ટ હોય છે અને પાણી ઉકળે ત્યારે આપમેળે બંધ થઈ જાય છે!"", ""hi"": ""क्या आप जानते हैं? इलेक्ट्रिक केतली बहुत स्मार्ट होती हैं और पानी उबलने पर अपने आप बंद हो जाती हैं!""}",matching,true,10
