topic_key,name,svg_path,image_path,lottie_path,narration,explanation,fact,game_type,is_free,display_order
arm,"{""en"": ""Arm"", ""gu"": ""બાજુ"", ""hi"": ""बांह""}",,/assets/images/body_parts/arm.png,,"{""en"": ""Arm! We use our arms to reach, swing, and hug the people we love."", ""gu"": ""બાજુ! આપણે આપણા હાથ/બાજુનો ઉપયોગ વસ્તુઓ મેળવવા, ઝૂલવા અને વ્હાલા લોકોને ભેટવા માટે કરીએ છીએ."", ""hi"": ""बांह! हम अपनी बांहों का उपयोग चीजों तक पहुँचने, झूलने और अपने प्रियजनों को गले लगाने के लिए करते हैं।""}","{""en"": ""Our arms are connected to our shoulders and hands. They have elbows in the middle that help them bend!"", ""gu"": ""આપણી બાજુઓ આપણા ખભા અને હાથ સાથે જોડાયેલી છે. તેમની વચ્ચે કોણી હોય છે જે તેમને વાળવામાં મદદ કરે છે!"", ""hi"": ""हमारी बांहें हमारे कंधों और हाथों से जुड़ी होती हैं। इनके बीच में कोहनी होती है जो इन्हें मोड़ने में मदद करती है!""}","{""en"": ""Did you know? Humans have two arms, and they help us keep our balance when we walk and run!"", ""gu"": ""શું તમે જાણો છો? મનુષ્યને બે બાજુ/હાથ હોય છે, જે આપણને ચાલતી અને દોડતી વખતે સંતુલન જાળવવામાં મદદ કરે છે!"", ""hi"": ""क्या आपको पता है? मनुष्यों के पास दो बांहें होती हैं, जो चलते और दौड़ते समय हमारा संतुलन बनाए रखने में मदद करती हैं!""}",memory,true,1
back,"{""en"": ""Back"", ""gu"": ""પીઠ"", ""hi"": ""पीठ""}",,/assets/images/body_parts/back.png,,"{""en"": ""Back! Our back helps us stand up straight and bend down to pick up toys."", ""gu"": ""પીઠ! આપણી પીઠ આપણને સીધા ઊભા રહેવામાં અને રમકડાં લેવા માટે નીચે નમવામાં મદદ કરે છે."", ""hi"": ""पीठ! हमारी पीठ हमें सीधे खड़े होने और खिलौने उठाने के लिए नीचे झुकने में मदद करती है।""}","{""en"": ""The back has a long spine made of small bones called vertebrae. It protects our spinal cord!"", ""gu"": ""પીઠમાં મણકા નામના નાના હાડકાંથી બનેલી એક લાંબી કરોડરજ્જુ હોય છે. તે આપણા કરોડરજ્જુનું રક્ષણ કરે છે!"", ""hi"": ""पीठ में कशेरुका नामक छोटी हड्डियों से बनी एक लंबी रीढ़ की हड्डी होती है। यह हमारी रीढ़ की हड्डी की रक्षा करती है!""}","{""en"": ""Did you know? The spine is so flexible that it lets you twist, turn, and even do cartwheels!"", ""gu"": ""શું તમે જાણો છો? કરોડરજ્જુ એટલી લવચીક હોય છે કે તે તમને વળવા, ફરવા અને કાર્ટવ્હીલ કરવા દે છે!"", ""hi"": ""क्या आपको पता है? रीढ़ की हड्डी इतनी लचीली होती है कि यह आपको मुड़ने, घूमने और यहाँ तक कि कलाबाजी करने की अनुमति देती है!""}",memory,true,2
brain,"{""en"": ""Brain"", ""gu"": ""મગજ"", ""hi"": ""दिमाग""}",,/assets/images/body_parts/brain.png,,"{""en"": ""Brain! The brain is the supercomputer of our body that controls everything we do."", ""gu"": ""મગજ! મગજ એ આપણા શરીરનું સુપરકોમ્પ્યુટર છે જે આપણે કરીએ છીએ તે બધું નિયંત્રિત કરે છે."", ""hi"": ""दिमाग! दिमाग हमारे शरीर का सुपरकंप्यूटर है जो हमारे द्वारा किए जाने वाले हर काम को नियंत्रित करता है।""}","{""en"": ""Your brain helps you think, learn, remember things, and feel happy, sad, or excited!"", ""gu"": ""તમારું મગજ તમને વિચારવામાં, શીખવામાં, વસ્તુઓ યાદ રાખવામાં અને ખુશી, દુઃખ કે ઉત્તેજના અનુભવવામાં મદદ કરે છે!"", ""hi"": ""आपका दिमाग आपको सोचने, सीखने, चीजों को याद रखने & खुशी, दुख या उत्साह महसूस करने में मदद करता है!""}","{""en"": ""Did you know? Even when you are fast asleep, your brain is still active and working hard!"", ""gu"": ""શું તમે જાણો છો? જ્યારે તમે ગાઢ નિદ્રામાં હોવ ત્યારે પણ તમારું મગજ સક્રિય હોય છે અને સખત મહેનત કરતું હોય છે!"", ""hi"": ""क्या आपको पता है? जब आप गहरी नींद में सो रहे होते हैं, तब भी आपका दिमाग सक्रिय रहता है और कड़ी मेहनत करता है!""}",memory,true,3
chest,"{""en"": ""Chest"", ""gu"": ""છાતી"", ""hi"": ""छाती""}",,/assets/images/body_parts/chest.png,,"{""en"": ""Chest! The chest protects important parts inside us, like our heart and lungs."", ""gu"": ""છાતી! છાતી આપણી અંદરના મહત્વપૂર્ણ ભાગો જેમ કે હૃદય અને ફેફસાંનું રક્ષણ કરે છે."", ""hi"": ""छाती! छाती हमारे अंदर के महत्वपूर्ण अंगों, जैसे हमारे दिल और फेफड़ों की रक्षा करती है।""}","{""en"": ""The chest is supported by a cage of curved bones called ribs. When you breathe, your chest rises and falls!"", ""gu"": ""છાતી પાંસળી નામના વળાંકવાળા હાડકાંથી બનેલા પાંજરા દ્વારા સુરક્ષિત હોય છે. જ્યારે તમે શ્વાસ લો છો, ત્યારે તમારી છાતી ઊંચી અને નીચી થાય છે!"", ""hi"": ""छाती पसलियों नामक घुमावदार हड्डियों के पिंजरे से सुरक्षित होती है। जब आप सांस लेते हैं, तो आपकी छाती फूलती और सिकुड़ती है!""}","{""en"": ""Did you know? Your ribs act like a protective shield for your lungs and heart, keeping them safe!"", ""gu"": ""શું તમે જાણો છો? તમારી પાંસળીઓ તમારા ફેફસાં અને હૃદય માટે રક્ષણાત્મક ઢાલ જેવું કામ કરે છે, તેમને સુરક્ષિત રાખે છે!"", ""hi"": ""क्या आपको पता है? आपकी पसलियां आपके फेफड़ों और दिल के लिए एक सुरक्षा कवच की तरह काम करती हैं, उन्हें सुरक्षित रखती हैं!""}",memory,true,4
ear,"{""en"": ""Ear"", ""gu"": ""કાન"", ""hi"": ""कान""}",,/assets/images/body_parts/ear.png,,"{""en"": ""Ear! Our ears help us listen to beautiful music, birds chirping, and our friends talking."", ""gu"": ""કાન! આપણા કાન આપણને સુંદર સંગીત, પક્ષીઓનો કલરવ અને આપણા મિત્રોની વાતો સાંભળવામાં મદદ કરે છે."", ""hi"": ""कान! हमारे कान हमें सुंदर संगीत, पक्षियों की चहचहाहट और अपने दोस्तों की बातें सुनने में मदद करते हैं।""}","{""en"": ""Ears catch sounds from the air and send them to the brain. They also help us stay balanced so we don't fall!"", ""gu"": ""કાન હવામાંથી અવાજ પકડે છે અને તેને મગજમાં મોકલે છે. તેઓ આપણને સંતુલન જાળવવામાં પણ મદદ કરે છે જેથી આપણે પડી ન જઈએ!"", ""hi"": ""कान हवा से आवाजों को पकड़ते हैं और उन्हें दिमाग तक भेजते हैं। वे हमें संतुलन बनाए रखने में भी मदद करते हैं ताकि हम गिर न जाएं!""}","{""en"": ""Did you know? Your ears never stop working, even when you are asleep! Your brain just ignores the sounds!"", ""gu"": ""શું તમે જાણો છો? તમારા કાન ક્યારેય કામ કરવાનું બંધ કરતા નથી, જ્યારે તમે સૂતા હોવ ત્યારે પણ! તમારું મગજ બસ તે અવાજોને અવગણે છે!"", ""hi"": ""क्या आपको पता है? आपके कान कभी काम करना बंद नहीं करते, सोते समय भी! आपका दिमाग बस उन आवाजों को नजरअंदाज कर देता है!""}",memory,true,5
eye,"{""en"": ""Eye"", ""gu"": ""આંખ"", ""hi"": ""आँख""}",,/assets/images/body_parts/eye.png,,"{""en"": ""Eye! Our eyes let us see the colorful world, read books, and look at beautiful pictures."", ""gu"": ""આંખ! આપણી આંખો આપણને રંગબેરંગી દુનિયા જોવા, પુસ્તકો વાંચવા અને સુંદર ચિત્રો જોવા દે છે."", ""hi"": ""आँख! हमारी आँखें हमें रंग-बिरंगी दुनिया देखने, किताबें पढ़ने और सुंदर तस्वीरें देखने देती हैं।""}","{""en"": ""Eyes work like little cameras. They blink to stay clean and wet, and close when we sleep!"", ""gu"": ""આંખો નાના કેમેરાની જેમ કામ કરે છે. તે સાફ અને ભીની રહેવા માટે પલક ઝપકાવે છે, અને જ્યારે આપણે સૂઈએ છીએ ત્યારે બંધ થાય છે!"", ""hi"": ""आँखें छोटे कैमरों की तरह काम करती हैं। वे साफ और नम रहने के लिए पलकें झपकाती हैं, और सोते समय बंद हो जाती हैं!""}","{""en"": ""Did you know? The colored part of your eye is called the iris, and everyone's pattern is completely unique!"", ""gu"": ""શું તમે જાણો છો? તમારી આંખના રંગીન ભાગને આઇરિસ કહેવાય છે, અને દરેક વ્યક્તિની આઇરિસની પેટર્ન તદ્દન અનન્ય હોય છે!"", ""hi"": ""क्या आपको पता है? आपकी आँख के रंगीन भाग को आइरिस कहा जाता है, और हर किसी की आइरिस का पैटर्न बिल्कुल अनोखा होता है!""}",memory,true,6
face,"{""en"": ""Face"", ""gu"": ""ચહેરો"", ""hi"": ""चेहरा""}",,/assets/images/body_parts/face.png,,"{""en"": ""Face! Our face shows how we feel, like when we smile to show we are happy."", ""gu"": ""ચહેરો! આપણો ચહેરો આપણે કેવું અનુભવીએ છીએ તે દર્શાવે છે, જેમ કે જ્યારે આપણે ખુશ હોઈએ ત્યારે હસીએ છીએ."", ""hi"": ""चेहरा! हमारा चेहरा दिखाता है कि हम कैसा महसूस करते हैं, जैसे कि जब हम खुश होते हैं तो मुस्कुराते हैं।""}","{""en"": ""The face includes our eyes, nose, mouth, and cheeks. It helps us talk, eat, and make funny expressions!"", ""gu"": ""ચહેરો આપણી આંખો, નાક, મોઢું અને ગાલ ધરાવે છે. તે આપણને વાત કરવામાં, ખાવામાં અને રમુજી હાવભાવ કરવામાં મદદ કરે છે!"", ""hi"": ""चेहरे में हमारी आँखें, नाक, मुँह और गाल शामिल होते हैं। यह हमें बात करने, खाने और मजेदार भाव बनाने में मदद करता है!""}","{""en"": ""Did you know? It takes about 17 muscles to smile, but 43 muscles to frown! So keep smiling!"", ""gu"": ""શું તમે જાણો છો? હસવા માટે લગભગ ૧૭ સ્નાયુઓનો ઉપયોગ થાય છે, પણ ગુસ્સે થવા માટે ૪૩ સ્નાયુઓ વપરાય છે! એટલે હંમેશાં હસતા રહો!"", ""hi"": ""क्या आपको पता है? मुस्कुराने के लिए लगभग 17 मांसपेशियों की आवश्यकता होती है, लेकिन गुस्सा करने के लिए 43! इसलिए मुस्कुराते रहें!""}",memory,true,7
foot,"{""en"": ""Foot"", ""gu"": ""પગ (પંજો)"", ""hi"": ""पैर (पंजा)""}",,/assets/images/body_parts/foot.png,,"{""en"": ""Foot! Our feet help us stand, walk, run, and jump high in the air."", ""gu"": ""પગ! આપણા પગ આપણને ઊભા રહેવામાં, ચાલવામાં, દોડવામાં અને આકાશમાં ઊંચો કૂદકો મારવામાં મદદ કરે છે."", ""hi"": ""पैर! हमारे पैर हमें खड़े होने, चलने, दौड़ने और हवा में ऊँचा कूदने में मदद करते हैं।""}","{""en"": ""Each foot has 5 toes that help us keep our balance so we don't fall over when we move!"", ""gu"": ""દરેક પગમાં ૫ આંગળીઓ હોય છે જે આપણને સંતુલન જાળવવામાં મદદ કરે છે જેથી આપણે પડી ન જઈએ!"", ""hi"": ""प्रत्येक पैर में 5 उंगलियां होती हैं जो हमें अपना संतुलन बनाए रखने में मदद करती हैं ताकि हम गिर न जाएं!""}","{""en"": ""Did you know? A quarter of all the bones in your body are located in your feet!"", ""gu"": ""શું તમે જાણો છો? તમારા શરીરના તમામ હાડકાંનો ચોથો ભાગ તમારા પગમાં આવેલો છે!"", ""hi"": ""क्या आपको पता है? आपके शरीर की कुल हड्डियों का एक चौथाई हिस्सा आपके पैरों में स्थित होता है!""}",memory,true,8
hair,"{""en"": ""Hair"", ""gu"": ""વાળ"", ""hi"": ""बाल""}",,/assets/images/body_parts/hair.png,,"{""en"": ""Hair! Hair grows on our heads and comes in many different colors, lengths, and styles."", ""gu"": ""વાળ! વાળ આપણા માથા પર ઉગે છે અને તે ઘણાં વિવિધ રંગો, લંબાઈ અને શૈલીમાં આવે છે."", ""hi"": ""बाल! बाल हमारे सिर पर उगते हैं और कई अलग-अलग रंगों, लंबाई और शैलियों में आते हैं।""}","{""en"": ""Hair keeps our heads warm in the winter and protects us from the hot sun in the summer!"", ""gu"": ""વાળ શિયાળામાં આપણા માથાને ગરમ રાખે છે અને ઉનાળામાં આપણને ગરમ સૂર્યપ્રકાશથી બચાવે છે!"", ""hi"": ""बाल सर्दियों में हमारे सिर को गर्म रखते हैं और गर्मियों में हमें तेज धूप से बचाते हैं!""}","{""en"": ""Did you know? Hair is very strong! A single strand of hair can support the weight of a small toy!"", ""gu"": ""શું તમે જાણો છો? વાળ ખૂબ જ મજબૂત હોય છે! વાળનો એક જ તાર નાના રમકડાનું વજન સહન કરી શકે છે!"", ""hi"": ""क्या आपको पता है? बाल बहुत मजबूत होते हैं! बाल का एक अकेला धागा एक छोटे खिलौने का वजन उठा सकता है!""}",memory,true,9
hand,"{""en"": ""Hand"", ""gu"": ""હાથ"", ""hi"": ""हाथ""}",,/assets/images/body_parts/hand.png,,"{""en"": ""Hand! We use our hands to write, paint, play instruments, and high-five our friends."", ""gu"": ""હાથ! આપણે આપણા હાથનો ઉપયોગ લખવા, રંગવા, વાદ્યો વગાડવા અને આપણા મિત્રો સાથે હાઈ-ફાઈવ કરવા કરીએ છીએ."", ""hi"": ""हाथ! हम अपने हाथों का उपयोग लिखने, पेंट करने, वाद्ययंत्र बजाने और अपने दोस्तों को हाई-फाइव देने के लिए करते हैं।""}","{""en"": ""Each hand has a palm, four fingers, and one thumb. They help us hold and pick up things easily!"", ""gu"": ""દરેક હાથમાં હથેળી, ચાર આંગળીઓ અને એક અંગૂઠો હોય છે. તેઓ આપણને વસ્તુઓ સરળતાથી પકડવામાં અને ઉપાડવામાં મદદ કરે છે!"", ""hi"": ""प्रत्येक हाथ में एक हथेली, चार उंगलियां और एक अंगूठा होता है। ये हमें चीजों को आसानी से पकड़ने और उठाने में मदद करते हैं!""}","{""en"": ""Did you know? Your thumb is very special! It lets you grip things tightly, which is called an opposing thumb!"", ""gu"": ""શું તમે જાણો છો? તમારો અંગૂઠો ખૂબ જ ખાસ છે! તે તમને વસ્તુઓને ચુસ્તપણે પકડવા દે છે, જેને વિરોધી અંગૂઠો કહેવાય છે!"", ""hi"": ""क्या आपको पता है? आपका अंगूठा बहुत खास है! यह आपको चीजों को कसकर पकड़ने की अनुमति देता है!""}",memory,true,10
